id,dt,car_value,loan_amount,ltv,term_meses,taxa_mensal,parcela_mensal,pti,idade,renda_mensal,score_interno,utilizacao_limite,atraso_antes_30d,atraso_antes_60d,canal,pd_proxy,risk_band,cluster_true
14,2022-11-01,34067.40052426258,29650.72109145873,0.8371757056040529,24,0.008,1425.2113271294495,0.21930204490751332,21,6498.851060556716,829,0.17174374170443174,0,0,digital,0.00024550916344381527,baixo,A
15,2022-10-01,49549.548920227746,48387.955992308816,0.9533569944738459,36,0.008485523169998798,1672.5875860525398,0.14612039662845205,45,11446.640062889477,713,0.7225612139462493,0,0,parceiro,0.001308806309572041,baixo,B
16,2024-03-01,180000.0,182507.22988365585,0.9798755048083605,48,0.013796858921300406,5816.65515816721,0.4755328279286571,43,12231.868793377746,674,0.6726534429973089,0,0,agencia,0.009663860285483527,baixo,C
17,2022-01-01,41313.14244623297,37592.3876292034,0.8554276666314236,24,0.008,1806.9407653770434,0.35231827115219405,25,5128.7171666339245,780,0.045286657170051835,0,0,agencia,0.0004206114345910816,baixo,A
18,2022-01-01,52294.16561853708,49165.09725304142,0.9208713083959831,36,0.008431821128920148,1697.3381905767042,0.49270212760168375,34,3444.958110570383,798,0.4961272621657198,0,0,digital,0.0022920476629564794,baixo,B
19,2023-10-01,46880.409048634065,41472.47922563084,0.8380634948738396,24,0.008,1993.4438347786559,0.31417756023468574,29,6344.959306735925,826,0.4664461786499055,0,0,digital,0.0003017869527471092,baixo,A
20,2022-07-01,42456.56067226257,30499.776061656314,0.7762444597644597,36,0.008,1042.4145685072758,0.09978652495537164,32,10446.446240847485,769,0.32268508503882964,0,0,digital,0.00021764617756656298,baixo,A
21,2024-02-01,106565.53577081083,114625.48144551417,1.0220019374785614,60,0.01971746879258825,3718.5241733484327,0.7133573434565209,41,6775.607445109177,497,0.6953448570299362,0,0,agencia,0.10435509802059705,alto,D
22,2023-10-01,26844.940863218042,20866.89098950401,0.7471078127817423,24,0.008,1003.0018935621594,0.14901473806527216,31,6730.890558776942,797,0.36792205829797275,0,0,digital,0.00022831758714965676,baixo,A
23,2024-12-01,116735.64667595559,136113.14123713016,1.1255723432952303,48,0.011305776762821578,4066.78227389093,0.4467241596152563,37,9103.56466369195,744,0.6776750297472649,0,0,agencia,0.006025707141307336,exposicao,C
24,2023-12-01,125000.0,138098.80648934716,1.0776701152165995,60,0.02574437827539703,5145.861105736539,0.8,50,4245.87526925907,584,0.6781857743488078,1,0,agencia,0.13340879058813665,exposicao,D
25,2024-04-01,51930.511348563006,42134.806810294845,0.7967244838517231,24,0.008,2025.2797140148389,0.33855777285679334,26,5982.080095002021,809,0.1743591741380958,0,0,digital,0.00031606124039506157,baixo,A
26,2024-04-01,52311.635407527996,50567.04453849791,1.04750939374953,60,0.02841540345888827,1992.2904534696245,0.7202585941820113,35,3652.918013437775,531,0.8654068070660395,0,1,agencia,0.14164533213441385,alto,D
27,2022-08-01,60392.18154926831,44489.95400547424,0.7419686421839131,24,0.010199206293866466,2216.7578586865966,0.3984832985715537,26,5562.988126812407,686,0.1010638628512299,0,0,parceiro,0.0006709372011610138,baixo,A
28,2023-11-01,140000.0,116215.87515973178,0.859843338847549,36,0.01039733497797552,4194.887061472446,0.5113667954561767,47,8203.284019898669,716,0.2811901252522143,0,0,parceiro,0.003841220860375116,baixo,B
29,2022-10-01,43722.193216817315,35361.46258442876,0.8335862333739074,36,0.009915312516512695,1262.758811619931,0.2265256049392529,31,5574.463919690507,759,0.5084269648196325,0,0,digital,0.0011724394777264352,baixo,B
30,2022-04-01,61928.50235091751,60745.688774078844,0.9514031951627037,36,0.009880584051765891,2167.5425506961706,0.4013737944333726,27,5400.3090903234815,748,0.25129357599395596,0,0,parceiro,0.0026643209263115695,baixo,B
31,2023-03-01,125000.0,109744.79691260883,0.9197767243191969,60,0.019444492304770793,3536.225435788165,0.8,50,2714.972789467745,611,0.5755086979013233,0,0,agencia,0.08674985733532604,alto,D
32,2022-12-01,70977.45851495062,66555.90102476519,0.9015497001928624,36,0.01164055336280595,2468.573042456428,0.581784015686443,50,4243.109084981951,700,0.42347919761622727,0,0,parceiro,0.0061352381203343175,baixo,B
33,2024-11-01,93297.27518276189,96097.51535027406,1.0529086162406,60,0.022202169161694922,3308.483889298188,0.782527469047712,43,5064.792561926793,524,0.8943532273941663,0,0,parceiro,0.11638611793793958,alto,D
34,2022-07-01,44582.9262489004,42974.48443422715,0.9525682010965416,60,0.01989693603832672,1400.2898616914272,0.4906622986666688,33,4071.9866168176845,546,0.8327000519813869,0,0,agencia,0.06696772879922039,alto,D
35,2022-10-01,57239.19600211117,47736.77957089415,0.8671267019803633,60,0.02607011143012891,1791.2155230312053,0.3336166573170095,39,11025.189674066713,488,0.9643029339434556,1,0,digital,0.11125225570306069,alto,D
36,2022-04-01,108436.84908648331,93757.34426583652,0.8856602404976092,36,0.011825319275343872,3491.339098332493,0.7443409067418005,37,4690.51084887315,651,0.41598400100793675,0,0,agencia,0.0080778902117764,baixo,B
37,2022-12-01,72937.22389844655,77114.42148107511,1.0251265121506452,48,0.012352114031306713,2368.5713495963882,0.08813335428969403,44,26874.857636881745,732,0.5610585980769053,0,0,digital,0.0015098644508442437,baixo,C
38,2024-11-01,134122.47664542697,146251.35001333323,1.0411637307172068,48,0.011883838245215193,4437.325034640018,0.4375968736768904,51,10140.211920061427,720,0.6463976462425182,0,0,digital,0.005914345534310635,exposicao,C
39,2023-10-01,120014.86193120049,118898.98306841688,1.0509195408412617,48,0.012216360412997666,3639.072411180835,0.19616711537938974,42,18550.878949016616,740,0.5729785420955151,0,0,parceiro,0.0025713073413255578,baixo,C
40,2023-07-01,83033.92548100172,60753.89205394089,0.7349617957726332,36,0.008,2076.433021754691,0.33311749443470096,24,6233.335253912105,809,0.17725180675704555,0,0,digital,0.00026867918629949403,baixo,A
41,2024-11-01,88303.80500682139,79438.88659828399,0.8901520788839014,36,0.009786961476689858,2828.607997152054,0.3210928177817865,28,8809.315688507133,679,0.8345757856944206,0,0,agencia,0.0024228551788230803,baixo,B
42,2022-03-01,111794.89103978383,118535.24594178991,1.135029613242221,48,0.012396654921461482,3645.036722430706,0.28193642942272584,41,12928.576594000426,695,0.5324118413734855,0,0,agencia,0.006514906136400873,baixo,C
43,2024-08-01,144561.58976317703,158586.36607382735,1.074614094053504,48,0.00904085125961378,4450.887224518977,0.26929790238351725,48,16527.745612293336,766,0.7286532986365942,0,0,agencia,0.00201229387887571,exposicao,C
44,2023-07-01,112171.14974047357,115616.58600288053,1.0450182178303418,48,0.008849407088053278,3227.1894635963413,0.30782405229041493,37,10483.87687571492,751,0.5316589545435166,0,0,parceiro,0.002248472979064559,baixo,C
45,2023-11-01,46687.7879685277,41140.57014118963,0.8990314003162352,48,0.013654904026885024,1306.511640786205,0.09741835828056765,31,13411.349399087738,598,0.5863137944145483,0,0,agencia,0.0025618158102631203,baixo,B
46,2024-11-01,80078.03779234478,71354.9253419856,0.9284796988894414,36,0.01631120903278455,2913.18934171709,0.3892422439294051,41,7484.25790661468,605,0.42873047421438537,0,0,parceiro,0.006685458142148988,baixo,B
47,2022-03-01,66567.64611111772,62054.45026227638,0.8946639612234646,36,0.0110911270678319,2274.3377638943666,0.27209562233088824,32,8358.597409290933,727,0.7760096531561517,0,0,parceiro,0.0012339727258060668,baixo,B
48,2022-09-01,79471.06608547091,73423.24135668455,0.9737014268535595,60,0.02177487266135303,2502.7460740185525,0.8,27,2293.7454732605966,643,0.5898569765748467,1,0,digital,0.12747038050160042,alto,D
49,2023-12-01,172486.87079098984,206561.36438086245,1.1365521297846415,48,0.022449503846451602,8013.121873291804,0.6755143041391997,45,11862.253432964437,671,0.511162123912271,1,0,parceiro,0.06510616320755962,exposicao,C
50,2023-12-01,43260.3891337172,33866.562899654826,0.8009061924345768,24,0.008,1627.8527900434087,0.33956133262949495,18,4793.9875174762765,740,0.10782372537398377,0,0,digital,0.0005648269917011064,baixo,A
51,2023-05-01,54278.416238968246,46823.59062852607,0.8467641614037752,36,0.016751983039669082,1928.165692089217,0.210969447867578,40,9139.54940669653,673,0.7895034878638503,1,0,parceiro,0.0075134776914717065,baixo,B
52,2024-01-01,39368.53348400037,47583.80805411931,1.1820954788336775,60,0.015736660032251177,1392.1116358787121,0.5633287877148148,51,3473.454460661062,598,0.6719439797417146,0,0,agencia,0.07436258848057851,alto,D
53,2024-05-01,180000.0,178788.51301397057,1.0340609761224806,48,0.010009609729163895,5156.443279252962,0.30447095234107163,52,16935.74785904916,699,0.3239342984710742,0,0,parceiro,0.002970769363393146,exposicao,C
54,2022-06-01,69344.060900237,66882.07757576166,0.976324210132019,60,0.015547005784882854,1946.5541305096413,0.5258259387226111,57,4697.114977723126,561,0.7981083904953452,0,0,parceiro,0.05782635556224906,medio,D
55,2022-03-01,61272.87696913206,60703.457394623474,1.0046864939890674,60,0.02005741472035587,1985.7678258491244,0.41414396975941326,38,8195.49921118147,432,0.5491173850502333,0,0,parceiro,0.08650605795056474,alto,D
56,2023-08-01,30424.88617772375,24862.22654559771,0.7895280261624805,24,0.008,1195.0443559583966,0.15474106822195874,35,7722.864845706243,851,0.35842896495059906,0,0,digital,0.000178840099670753,baixo,A
57,2022-06-01,44404.349256361085,40905.79130100464,0.9376396212831521,36,0.008413149822245284,1411.5892212337421,0.13172302158754162,44,10716.344069708543,778,0.34422877164987664,0,0,parceiro,0.000679783056339595,baixo,B
58,2024-01-01,91478.29473092011,100949.12804292078,1.1196859407282647,60,0.03355348464177131,4392.241481292692,0.8,27,5019.574121704037,675,0.9355386373085526,1,1,agencia,0.1484854573723416,alto,D
59,2022-03-01,58972.89190089133,57227.2299538853,0.9578779341934816,60,0.019941203350394687,1866.7310296502678,0.8,42,2892.7800795155686,593,0.7983640353030951,0,0,agencia,0.09778786320777993,alto,D
60,2022-04-01,45612.87705255841,48724.08005675695,1.0649643840328185,60,0.021357434105951072,1644.5650642941664,0.7219537988003751,47,2958.65922997222,520,0.7926849286911943,0,0,agencia,0.10760086111249115,alto,D
61,2024-01-01,130555.10223415497,130861.63283320625,1.019966106509843,48,0.01255350432366736,4040.5016762175237,0.3261728575343663,48,12387.60854217248,754,0.5296250572322827,0,0,digital,0.004156111666414633,exposicao,C
62,2022-07-01,31883.631752254223,28099.90654865422,0.8769432802501723,48,0.015291328661235767,929.162644872016,0.1168869741186547,38,7949.240297116437,595,0.8219350001365504,0,0,parceiro,0.0026645249072681037,baixo,B
63,2024-12-01,47588.043386704354,40888.8213476987,0.8553059609061087,24,0.008,1965.3893461127177,0.28802974915370233,29,6823.563718287724,828,0.255817246640968,0,0,parceiro,0.00029416220499048416,baixo,A
64,2024-04-01,28502.83003738681,19567.859018871426,0.7,24,0.008,940.5617568404199,0.12298769829193743,39,7647.608418589937,769,0.2426816983355042,0,0,digital,0.00022500784879986568,baixo,A
65,2024-07-01,63077.51057264898,49808.03306597869,0.82,60,0.027390119017209138,1921.5322473851738,0.3722654309071711,34,9977.390693153062,487,0.7536605954315728,1,0,parceiro,0.1142640682807038,alto,D
66,2022-05-01,56115.73867076134,41267.42373034618,0.7509699055367188,36,0.008,1410.4288377171652,0.3503932010180641,27,4025.274559035899,841,0.11456463184921915,0,0,digital,0.0002826567906226496,baixo,A
67,2022-11-01,137988.91900483702,141944.48552869578,1.0131405410730254,48,0.013849860693283237,4529.905862449585,0.5327549091556277,43,8502.795158901698,714,0.8246046836773852,0,0,agencia,0.007975543827299973,exposicao,C
68,2024-01-01,93536.39096529987,86889.74147176945,0.9066840957540265,60,0.017643845346479704,2674.6176864416275,0.19124201325013482,44,13985.513125420635,714,0.5589658345345945,1,0,parceiro,0.007774750683628341,baixo,B
69,2024-03-01,54440.049799852495,44144.608591619966,0.8077344803862265,24,0.008,2121.8841863038665,0.3384688286414732,24,6269.068247201858,905,0.23483957289486312,0,0,digital,0.00016067579425022883,baixo,A
70,2022-12-01,29511.057669499343,29982.572400913923,1.0413686956411456,60,0.013979217783574693,835.0158674585693,0.24015112848394804,31,12882.209227146972,693,0.6360894781997236,0,0,digital,0.0250531767688732,medio,D
71,2022-01-01,39575.97420624865,32720.167938343064,0.7807151373003361,24,0.008,1572.74940556969,0.23747209586967685,22,6622.880889689055,825,0.4070222006348387,0,0,digital,0.00021297996785867734,baixo,A
72,2022-07-01,68149.48435841975,61641.356281069675,0.8953155144162093,36,0.00865310454773744,2138.9711769879223,0.4086639581992175,31,5234.058776343584,745,0.5691783138240439,0,0,agencia,0.0023301876003741337,baixo,B
73,2023-01-01,59587.90788582523,53922.32614562278,0.9504571527389227,48,0.016686874496984475,1843.217865882452,0.5761658379728116,39,3872.2938186406936,585,0.8875357181196899,0,0,parceiro,0.052862887020444525,medio,D
74,2022-01-01,55290.50245308419,49771.356317836886,0.8974268149177269,36,0.012727331757998558,1889.3029266176031,0.281405182587522,44,6713.817099050749,765,0.4819265545175079,1,0,agencia,0.003706165775351351,baixo,B
75,2023-11-01,139444.97867383988,116630.09339385245,0.8523850976672489,24,0.011516209119410143,5934.096460855804,0.412520830268948,36,14384.961983585163,599,0.6906114700448983,0,0,digital,0.004822938112623435,baixo,B
76,2022-09-01,39861.87856970302,29862.299013559557,0.7937440904943884,24,0.008,1435.381172585096,0.18679521768175716,35,7684.250113033158,769,0.7585602573388711,0,0,parceiro,0.00028632268154697694,baixo,A
77,2023-09-01,131424.6113314517,129555.74325691999,1.007447660840317,36,0.013302958649157717,4977.550402271716,0.26720598817133934,39,18628.13942283353,805,0.6934979343967718,0,0,parceiro,0.001874520728391776,exposicao,C
78,2023-02-01,80751.77568571159,71980.18725121426,0.874347483593303,60,0.018491718427565102,2264.4996715305297,0.8,36,3275.5035964574645,584,0.7633864638888411,0,0,agencia,0.08384337170866588,alto,D
79,2022-05-01,32204.06732424584,22707.958084095284,0.7536967599489758,36,0.008,776.1075451853011,0.12450220849800078,28,6233.684964694932,759,0.20320104830043112,0,0,digital,0.00022379443181938524,baixo,A
80,2023-09-01,87865.14989161894,76152.99723564356,0.8775628087654055,36,0.011063076569473241,2789.3501858536792,0.34011029411905563,31,8201.310675051978,706,0.3173031247038498,0,0,agencia,0.0018762467776372851,baixo,B
81,2022-11-01,38851.761235664955,29795.141096733045,0.8030406965793786,24,0.008,1432.1531153829683,0.2119988918143191,31,6755.474536335458,766,0.3655949938537388,0,0,digital,0.00029526255372325493,baixo,A
82,2024-09-01,94409.9824226876,97671.37625529798,0.9281224703177053,36,0.008,3338.1905929032955,0.8,42,4103.467986875772,793,0.33420437328424685,0,0,parceiro,0.0038653064917188703,baixo,B
83,2022-05-01,96531.08600773393,89738.371811496,0.9475383453247732,48,0.009717766046718616,2567.1946148815537,0.40529598664282346,33,6334.122960718962,776,0.3357639369887836,0,0,parceiro,0.001708692518634448,baixo,B
84,2022-03-01,49142.35694175314,41587.14133093491,0.8762818540054088,48,0.008985714545147473,1165.350922326599,0.12679625422430993,26,9190.736188980989,741,0.4416338154309812,0,0,agencia,0.0005158145527883947,baixo,B
85,2022-01-01,120492.85223928452,134239.7783523369,1.0592351897490087,60,0.015289255176755398,3879.2706200855864,0.13122087374812058,34,29562.908013643275,803,0.5418355940588675,1,0,digital,0.005387329800538955,exposicao,C
86,2024-03-01,81321.5876539913,85592.7790752261,1.0366621926893582,48,0.011054183153590344,2540.1095026184194,0.18787036940133847,45,13520.543504080226,771,0.8246691402364009,0,0,agencia,0.0016507496906606322,baixo,C
87,2022-09-01,54554.89172102204,52217.61889860631,0.8919106724665041,60,0.026289706933402268,1968.5223663936633,0.5150469944313767,42,4784.860923446385,541,0.7630077373215204,1,0,agencia,0.12571507834246182,alto,D
88,2022-03-01,35727.90674263597,26941.28854764612,0.7531762939235066,24,0.008,1294.9779361901901,0.13618674105095524,31,9508.840039763232,746,0.19807790856076912,0,0,digital,0.00017525643363804758,baixo,A
89,2023-11-01,162126.87906751438,162100.3243877845,0.9563724494098514,60,0.011790676567192945,4230.690070164483,0.45165038652715106,44,9367.17911988359,753,0.7388691308875229,0,0,parceiro,0.003938864529782262,baixo,C
90,2024-03-01,62338.709230808905,45627.96009182092,0.7450228636368951,24,0.008,2193.1839484135253,0.6261688791960083,23,3502.543836463961,772,0.19354707352146658,0,0,digital,0.0006317715326180772,baixo,A
91,2022-06-01,77978.01510512127,74603.85591434712,0.896335882885852,48,0.013289989365497308,2347.4345595969785,0.5990920104335511,39,3918.3205896840227,689,0.5193677610969859,0,0,agencia,0.007445649038812208,baixo,B
92,2024-01-01,70085.02327112874,70750.93453711718,1.0570893064358204,60,0.0305665975081313,2909.2745137414518,0.7016984010220763,27,5111.483266626075,533,0.7142284481130986,0,1,digital,0.1439224436228175,alto,D
93,2024-05-01,41758.974881315364,39652.70559059369,0.951924008486032,48,0.017400133747437794,1378.067937716652,0.27940660434314313,42,9288.781693275385,607,0.4872294997013763,0,0,agencia,0.03223969758087605,medio,D
94,2023-09-01,90684.02439638026,90047.0110460283,1.0102139450688818,60,0.020670067482556773,2989.805753372957,0.8,32,3069.9571436014285,493,0.5954099656706836,0,0,agencia,0.11976195216144989,alto,D
95,2022-05-01,142373.75575226825,154570.0767806549,1.0808652420322074,60,0.013225747899659602,4211.611841009824,0.4950439036595149,48,8507.552178455911,628,0.4730757491020268,0,0,digital,0.011771803831022366,exposicao,C
96,2022-01-01,56773.12718237985,49464.29513206186,0.8399097551253452,36,0.008603560090949487,1714.463426532953,0.26226668643967643,31,6537.09950664014,789,0.10086690467603712,0,0,agencia,0.00031680081398394926,baixo,A
97,2024-03-01,70161.3294331491,63085.04884329041,0.9285521795422971,36,0.015128015181961706,2515.8437291940527,0.690450479290877,38,4280.153971097443,693,0.6828309245145917,0,0,parceiro,0.04595858125129385,medio,D
98,2022-03-01,60156.35596418644,64802.014737433565,1.07683246285766,60,0.01999540407852527,2116.6275547792534,0.48202642124265227,44,5619.111080895639,636,0.8934062898228737,0,0,parceiro,0.07750113439165081,alto,D
99,2024-04-01,61490.566252177254,55876.72667193725,0.9475943257273266,36,0.013380658655376155,2150.265221544257,0.23340491152132214,40,9212.596288265446,621,0.38589699063896765,0,0,agencia,0.0030880245049998136,baixo,B
100,2023-10-01,55123.847146448745,51848.37140733567,0.8698478600727423,36,0.014626072096059182,2046.9029537062133,0.22887363398787305,31,8943.375949606625,664,0.5165514920875628,0,0,agencia,0.002679062032428301,baixo,B
101,2022-12-01,142582.8119037917,149734.31470913242,1.050229632208311,48,0.011054661194038617,4443.674584358401,0.351411356227566,51,12645.221919011574,743,0.4057018920516711,0,0,parceiro,0.003116503583541245,exposicao,C
102,2024-12-01,74302.66819009767,72419.98094603413,0.9594920862922935,60,0.0303094669117859,2963.0084954226922,0.8,45,4013.376094240983,595,0.9194045721324755,0,1,agencia,0.14286470737134027,alto,D
103,2022-04-01,114845.97966819558,122352.0148627163,1.0473856784497575,48,0.011035609920957768,3629.1835968944542,0.2610660445033555,31,13901.40032878848,755,0.4033875824047238,0,0,parceiro,0.0019889195095240367,exposicao,C
104,2022-05-01,74260.87369104526,63702.37335899204,0.8417016506069176,36,0.008,2177.2055605806613,0.34126615150541434,41,6379.7875967963355,681,0.3848863818934202,0,0,agencia,0.0018304208273228846,baixo,B
105,2022-05-01,36713.005537075376,27696.90705354433,0.7917825137531125,24,0.008,1331.2979990403642,0.41877899416053366,29,3178.9989889751437,845,0.32736202642926143,0,0,digital,0.0003022377819757721,baixo,A
106,2024-12-01,57779.00028556101,44971.739934914585,0.8065286555881713,36,0.008,1537.034133775525,0.21099869231409413,28,7284.5671075889195,881,0.4187060814875879,0,0,digital,0.00021160945293008076,baixo,A
107,2024-08-01,88873.42451877818,70528.91335439096,0.8,60,0.01170108055392222,1835.693486472113,0.22916316635157596,42,8010.421202052346,672,0.4504722670190628,0,0,digital,0.0019339273340164343,baixo,B
108,2022-01-01,119274.62330100453,128992.42388995824,1.0528789219532546,48,0.013606314571717123,4091.4313618261704,0.3153720510817914,39,12973.347979923123,799,0.6266169671634763,0,0,digital,0.002839595781600726,exposicao,C
109,2024-09-01,59135.493342943315,64939.168759117194,1.1073465670902503,60,0.024279510818480142,2343.672479662695,0.6810082514441871,41,4203.76649419798,420,0.7775469134326002,0,0,agencia,0.12706611739303758,alto,D
110,2023-09-01,59507.83327453592,49289.157908495916,0.8242615727436979,24,0.008,2369.1655234683703,0.5542582222948986,30,4274.479706694964,778,0.10206824930427864,0,0,digital,0.0009157381742464591,baixo,A
111,2024-12-01,43021.1168761562,40928.66016096226,0.9149503364033987,60,0.019337299138117988,1315.3041318999574,0.4760957702398392,26,3647.6159349373975,541,0.6741370241565011,0,0,agencia,0.05694755278153521,medio,D
112,2023-09-01,91352.50307615656,67399.68005495018,0.7776148947043835,48,0.008,1835.5179534964766,0.25546420457864943,26,7185.029920430116,804,0.40177805478257184,0,0,digital,0.0002886302022997355,baixo,A
113,2024-11-01,78954.02673667153,72335.37540951825,0.8828305308160204,36,0.008,2472.262386218646,0.2550725069286037,35,9692.390669570072,727,0.6261471175078318,0,0,agencia,0.0009793191838959995,baixo,B
114,2022-08-01,40620.60200079086,37774.056432390076,0.9160639181454302,48,0.010501850149346752,1104.3174931568692,0.18098821142971303,33,6101.599018153357,732,0.531553482829048,0,0,parceiro,0.0011404186592524081,baixo,B
115,2024-01-01,70717.63034916576,61619.201662979234,0.8230489665599048,48,0.0099820112798215,1775.8002208214978,0.3536970693230796,43,5020.6811840994305,739,0.5017288215640815,0,0,agencia,0.0013072483331771408,baixo,B
116,2023-02-01,98597.69386831734,90541.8807057938,0.9549429260560158,48,0.009608188758589797,2582.2439656738934,0.38347085505879536,38,6733.872813562253,764,0.7395216732574487,0,0,parceiro,0.0020490709776782245,baixo,B
117,2022-07-01,75028.83458083843,62136.419630669305,0.8188701316090428,48,0.012673887906180474,1924.5167561380063,0.2694935087341556,55,7141.236036362063,562,0.48272342986121525,0,0,agencia,0.003950006225053877,baixo,B
118,2024-01-01,53275.5122511046,40507.16610069391,0.763577603446624,36,0.008,1384.4449213970495,0.2748789988582866,29,5036.561276588459,802,0.22553051278328295,0,0,digital,0.00024726285357034564,baixo,A
119,2024-05-01,114557.3368418071,98045.71879952252,0.8398239416955118,36,0.012291757456016135,3687.61554494322,0.41627830153324386,33,8858.534137765353,585,0.5999770101281853,0,0,digital,0.005333928202021195,baixo,B
120,2024-12-01,49754.34943193093,52135.07089961739,0.9631741140483652,48,0.01194786034752062,1584.4693474620674,0.13771429885094955,38,11505.481716005139,659,0.33461756825900946,0,0,parceiro,0.0015068575171799672,baixo,B
121,2024-10-01,55507.79970685348,47272.595877320535,0.7958772131202246,24,0.008401424411577488,2287.4172076902423,0.5849659129672702,27,3910.3427344803713,750,0.25479569468748,0,0,digital,0.00099911289240429,baixo,A
122,2023-01-01,118241.53302145863,122097.70083231867,1.0583579699646324,48,0.01607773180842141,4114.145371398819,0.4550547023547748,43,9040.990786622624,651,0.6304018427534485,0,0,digital,0.011995090446359517,exposicao,C
123,2023-08-01,96139.55707799847,74568.70588743831,0.8018682261101592,36,0.010369541272502768,2689.9475599872603,0.33482152970817175,32,8033.974285739035,607,0.23244405202283783,0,0,digital,0.0021916077332985854,baixo,B
124,2022-03-01,41893.02382447616,47365.8458475088,1.0795717253213892,36,0.019605609533882233,2058.6269633512293,0.47884775421544157,41,5474.417107400458,544,0.8242553014578142,0,0,parceiro,0.07843371751152144,alto,D
125,2024-07-01,86428.92822424369,95724.65006419057,1.1359894884285358,48,0.013539798719423051,3031.137538489048,0.2684956869743294,44,11289.334188741928,759,0.7603474470232133,0,0,parceiro,0.004336904092511764,baixo,C
126,2022-09-01,45659.074424741695,36790.551095163064,0.7921492732335763,36,0.008,1257.4192796524621,0.29709838688181117,29,4232.3329077942,681,0.047898848391753276,0,0,digital,0.0006513655579150181,baixo,A
127,2022-12-01,96238.46288126297,88657.38237734797,0.9302646707904548,48,0.010687561480047215,2605.0537793824515,0.35264142848733604,25,7387.259604059832,613,0.43374831379152207,0,0,parceiro,0.004188751055763055,baixo,B
128,2023-04-01,60472.23206424283,54174.31197113996,0.9061288937991484,24,0.008689385565708632,2633.856186376874,0.24438318150949476,40,10777.567302742327,772,0.6015459500121219,0,0,parceiro,0.0007740505044609657,baixo,B
129,2022-05-01,83464.8800873938,97572.57213551483,1.1151837948670733,48,0.012332587034256211,2995.4197099038756,0.2209725854430184,29,13555.616882965314,722,0.6375655840879928,0,0,agencia,0.003373431957463027,baixo,C
130,2023-11-01,74674.88420013816,60885.20302985772,0.7890239860223269,24,0.008,2926.5487589684944,0.4201133861249198,30,6966.092620762843,919,0.55159729212194,0,0,digital,0.0002633532647906945,baixo,A
131,2023-10-01,77622.7597394503,67438.87710938315,0.8799524570144144,36,0.011759163797406512,2507.7219837212338,0.20453067160400173,45,12260.860261469796,631,0.36226945118663983,0,0,parceiro,0.0025529072614468794,baixo,B
